timestamp,character_name,timezone,schedule_varies,sun,mon,tue,wed,thu,fri,sat
2026/02/20 8:11:20 PM EST,Moondim,America/New_York,No,09-12|12-15|15-18,09-12|12-15|15-18,09-12|12-15|15-18,09-12|12-15|15-18,09-12|12-15|15-18,09-12|12-15|15-18,09-12|12-15|15-18
2026/02/20 8:29:02 PM EST,Oderus_Urungus,America/New_York,Yes,03-06,03-06,03-06,03-06,03-06,03-06,03-06
2026/02/21 12:54:54 AM EST,Niko,Europe/Helsinki,Yes,06-09|09-12|15-18|18-21|21-24,15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21|21-24,06-09|09-12|12-15|15-18|18-21|21-24
2026/02/22 10:37:45 AM EST,Ashes of Roses,America/Denver,Yes,12-15|15-18|18-21,09-12|12-15|15-18|18-21,09-12|12-15|15-18|18-21,09-12|12-15|15-18|18-21,09-12|12-15|15-18|18-21,09-12|12-15|15-18|18-21,09-12|12-15|15-18|18-21
2026/02/22 3:49:55 PM EST,Izik Naga,America/Los_Angeles,No,06-09|09-12|12-15|15-18,None,None,None,None,None,12-15|15-18
2026/02/22 4:06:02 PM EST,Indika,Europe/London,No,18-21|21-24,18-21|21-24,18-21|21-24,18-21|21-24,18-21|21-24,18-21|21-24,18-21|21-24
2026/02/22 4:07:10 PM EST,Samuel Vimes,America/Sao_Paulo,Yes,21-24,21-24,None,21-24,21-24,21-24,21-24
2026/02/22 4:13:37 PM EST,LilWereWolf,Europe/Moscow,No,18-21,18-21,18-21,18-21,18-21,18-21,18-21
2026/02/22 4:42:27 PM EST,Nubbington,Europe/London,No,15-18|18-21,18-21,18-21,18-21,18-21,18-21,15-18|18-21
2026/02/22 4:45:24 PM EST,Ligma,America/Los_Angeles,Yes,09-12|15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21,15-18|18-21
2026/02/22 5:18:44 PM EST,Tetlee,America/Phoenix,No,15-18|18-21,12-15|15-18|18-21,12-15|15-18|18-21,12-15|15-18|18-21,12-15|15-18|18-21,12-15|15-18|18-21,12-15|15-18|18-21
2026/02/22 5:36:02 PM EST,Ulric Vonloksly,Europe/Rome,Yes,15-18|18-21,18-21,18-21,18-21,18-21,18-21,15-18|18-21
2026/02/22 6:21:02 PM EST,Halic,America/New_York,Yes,03-06|06-09|21-24,09-12|12-15,09-12|12-15,09-12|12-15,09-12|12-15,09-12|12-15,03-06|06-09|21-24
